Timestamp,Temp,Humidity,Noise,Motion,Button,Status
2025-06-11 00:30:14,0,0,0,0,0,Balanced
2025-06-11 00:30:17,24.5,74.7,53.6,0,0,Balanced
2025-06-11 00:30:20,24.5,74.7,53.6,1,0,Tense
2025-06-11 00:30:23,25.2,72.2,85.6,1,0,Stressed
2025-06-11 00:30:26,26.8,64.7,70.8,1,0,Tense
2025-06-11 00:30:29,26.8,64.7,70.8,0,1,Critical
2025-06-11 00:30:32,25.6,67.6,58.8,0,1,Stressed
2025-06-11 00:30:35,25.6,67.6,58.8,0,1,Stressed
2025-06-11 00:30:38,24.3,65.2,52.0,0,1,Stressed
2025-06-11 00:30:41,29.7,54.8,63.1,1,1,Critical
2025-06-11 00:30:44,29.7,54.8,63.1,1,0,Balanced
2025-06-11 00:30:48,26.6,67.3,31.4,1,0,Balanced
2025-06-11 00:37:34,0,0,0,0,0,Balanced
2025-06-11 00:37:35,0,0,0,1,0,Tense
2025-06-11 00:37:37,0,0,0,1,0,Tense
2025-06-11 00:37:38,29.4,0,0,1,0,Tense
2025-06-11 00:37:38,29.4,59.9,0,1,0,Balanced
2025-06-11 00:37:38,29.4,59.9,0,1,0,Balanced
2025-06-11 00:37:38,29.4,59.9,88.9,1,0,Tense
2025-06-11 00:37:40,29.4,59.9,88.9,1,1,Critical
2025-06-11 00:37:40,29.4,59.9,88.9,1,1,Critical
2025-06-11 00:37:41,29.4,59.9,88.9,1,1,Critical
2025-06-11 00:37:41,29.4,59.9,88.9,1,1,Critical
2025-06-11 00:37:41,29.4,59.9,88.9,1,1,Critical
2025-06-11 00:37:42,29.4,59.9,88.9,1,1,Critical
2025-06-11 00:37:42,29.4,59.9,88.9,0,1,Critical
2025-06-11 00:37:43,30.0,59.9,88.9,0,1,Critical
2025-06-11 00:37:43,30.0,46.8,88.9,0,1,Critical
2025-06-11 00:37:43,30.0,46.8,61.1,0,1,Critical
2025-06-11 00:37:43,30.0,46.8,61.1,0,1,Critical
2025-06-11 00:37:43,30.0,46.8,61.1,0,1,Critical
